n,d,graph_family,graph_seed,num_edges,n_pairs,edge_fraction,SND,SND_G_u,ratio,ratio_reciprocal,abs_distortion,lower_bound,pi_G,upper_bound,lambda_2,spectral_gap,d_max,is_ramanujan,ramanujan_bound,time_full_ms,time_graph_ms,data_source
100,7,random_regular,41058,350,4950,0.0707070707070707,0.0046733589842915535,0.0046736509539186954,0.9999375285766907,1.0000624753262317,2.919696271419525e-07,0.0707070707070707,109.09790609287515,7.713993360102284,4.658237382874441,0.33453751673222265,7,True,4.898979485566356,608.8208952103741,43.03028669091873,synthetic
100,7,bernoulli,873,347,4950,0.0701010101010101,0.0046733589842915535,0.004659114871174097,1.0030572573356336,0.9969520609982382,1.4244113117456436e-05,0.0701010101010101,141.7042271454036,9.933609458475768,4.98349756047383,0.6166540338097054,13,True,6.928203230275509,610.5408785864711,42.7693723118864,synthetic
100,7,bernoulli,10873,367,4950,0.07414141414141415,0.0046733589842915535,0.004693740513175726,0.9956577214213356,1.004361216194322,2.038152888417244e-05,0.07414141414141415,148.52921882039524,11.012166324663648,4.83624934230432,0.6545536184068343,14,True,7.211102550927978,607.553383114282,45.146806607954204,synthetic
100,7,bernoulli,20873,333,4950,0.06727272727272728,0.0046733589842915535,0.004677242133766413,0.99916977796663,1.000830911874716,3.883149474859238e-06,0.06727272727272728,198.0,13.32,4.789674248364822,0.6578804108310842,14,True,7.211102550927978,611.0856676008552,41.094226198038086,synthetic
100,7,bernoulli,30873,351,4950,0.07090909090909091,0.0046733589842915535,0.004679097328335047,0.9987736215682577,1.001227884282543,5.738344043493271e-06,0.07090909090909091,198.0,14.04,4.974572928350848,0.6173405439730117,13,True,6.928203230275509,607.9201920016203,43.13811310566962,synthetic
100,7,bernoulli,40873,332,4950,0.06707070707070707,0.0046733589842915535,0.004654108081012964,1.0041363249291795,0.9958807137771147,1.925090327858925e-05,0.06707070707070707,149.3297137644964,10.015649488851071,4.752262183586509,0.6605527011723922,14,True,7.211102550927978,605.76032960671,40.66919649485499,synthetic
100,7,uniform,1731,350,4950,0.0707070707070707,0.0046733589842915535,0.00468779169023037,0.9969212143174163,1.0030882938775576,1.443270593881607e-05,0.0707070707070707,136.72786229136074,9.66762662666187,4.932363909208287,0.647688292199408,14,True,7.211102550927978,605.6749876937829,43.156295898370445,synthetic
100,7,uniform,11731,350,4950,0.0707070707070707,0.0046733589842915535,0.004695333074778318,0.9953200145470399,1.0047019907010408,2.1974090486764908e-05,0.0707070707070707,148.1099567099567,10.47242118151209,5.05269482011866,0.6113311676831801,13,True,6.928203230275509,607.0420056988951,42.87338879657909,synthetic
100,7,uniform,21731,350,4950,0.0707070707070707,0.0046733589842915535,0.004661488346755505,1.0025465337791333,0.9974599345832517,1.187063753604889e-05,0.0707070707070707,124.09385059385058,8.77431266825206,4.721086536911582,0.6368394971606475,13,True,6.928203230275509,605.3298727842048,42.79062670539133,synthetic
100,7,uniform,31731,350,4950,0.0707070707070707,0.0046733589842915535,0.004679420962929726,0.9987045451379145,1.001297135242242,6.06197863817215e-06,0.0707070707070707,198.0,14.0,4.652779659090008,0.6122683617424993,12,True,6.6332495807108,606.3397360092495,43.28402860555798,synthetic
100,7,uniform,41731,350,4950,0.0707070707070707,0.0046733589842915535,0.004661486484110355,1.0025469343784794,0.9974595360165772,1.187250018119812e-05,0.0707070707070707,198.0,14.0,4.920490175271055,0.6485364160520675,14,True,7.211102550927978,605.7041147025302,42.67860449035652,synthetic
100,7,knn,1575,452,4950,0.09131313131313132,0.0046733589842915535,0.004677692428231239,0.9990735936562369,1.0009272653682826,4.3334439396858215e-06,0.09131313131313132,854.9862736892079,78.07147388030747,9.072290201122748,0.35197927134837514,14,False,7.211102550927978,600.1219413941726,55.5872421071399,synthetic
100,7,knn,11575,452,4950,0.09131313131313132,0.0046733589842915535,0.004677692428231239,0.9990735936562369,1.0009272653682826,4.3334439396858215e-06,0.09131313131313132,854.9862736892079,78.07147388030747,9.072290201122748,0.35197927134837514,14,False,7.211102550927978,606.5212942019571,55.87445419514552,synthetic
100,7,knn,21575,452,4950,0.09131313131313132,0.0046733589842915535,0.004677692428231239,0.9990735936562369,1.0009272653682826,4.3334439396858215e-06,0.09131313131313132,854.9862736892079,78.07147388030747,9.072290201122748,0.35197927134837514,14,False,7.211102550927978,606.8828215065878,55.76063141343184,synthetic
100,7,knn,31575,452,4950,0.09131313131313132,0.0046733589842915535,0.004677692428231239,0.9990735936562369,1.0009272653682826,4.3334439396858215e-06,0.09131313131313132,854.9862736892079,78.07147388030747,9.072290201122748,0.35197927134837514,14,False,7.211102550927978,604.4619968975894,55.70693261688575,synthetic
100,7,knn,41575,452,4950,0.09131313131313132,0.0046733589842915535,0.004677692428231239,0.9990735936562369,1.0009272653682826,4.3334439396858215e-06,0.09131313131313132,854.9862736892079,78.07147388030747,9.072290201122748,0.35197927134837514,14,False,7.211102550927978,603.697932488285,55.37789529771544,synthetic
100,14,random_regular,1758,700,4950,0.1414141414141414,0.0046733589842915535,0.0046750460751354694,0.999639128509794,1.0003610017654512,1.6870908439159393e-06,0.1414141414141414,40.38157192814662,5.7105253231722495,6.631192227119767,0.5263434123485881,14,True,7.211102550927978,605.367833795026,85.95110081951134,synthetic
100,14,random_regular,11758,700,4950,0.1414141414141414,0.0046733589842915535,0.004670862574130297,1.0005344644852288,0.9994658210144678,2.49641016125679e-06,0.1414141414141414,39.716368880090435,5.6164562052653135,6.388214648299794,0.5436989536928718,14,True,7.211102550927978,605.7711578032468,85.86345958756283,synthetic
100,14,random_regular,21758,700,4950,0.1414141414141414,0.0046733589842915535,0.00467540742829442,0.9995618683431801,1.000438323700309,2.048444002866745e-06,0.1414141414141414,39.13143394726104,5.533738133956106,6.1226255362418724,0.5626696045541519,14,True,7.211102550927978,606.6806489950977,86.07894780579954,synthetic
100,14,random_regular,31758,700,4950,0.1414141414141414,0.0046733589842915535,0.004672768991440535,1.0001262619342193,0.9998737540058442,5.899928510189056e-07,0.1414141414141414,40.11799293667286,5.673251526398182,6.164467439850221,0.5596808971535556,14,True,7.211102550927978,604.7736455162521,85.64495299360715,synthetic
100,14,random_regular,41758,700,4950,0.1414141414141414,0.0046733589842915535,0.0046736313961446285,0.9999417130214207,1.0000582903761492,2.7241185307502747e-07,0.1414141414141414,42.02165352711497,5.942456054339491,6.582989004188037,0.5297864997008546,14,True,7.211102550927978,606.2425499898382,86.21384470607154,synthetic
100,14,bernoulli,1573,724,4950,0.14626262626262626,0.0046733589842915535,0.004662979394197464,1.002225956672038,0.9977789872062091,1.0379590094089508e-05,0.14626262626262626,45.91851137738437,6.716162068126522,6.644660079218982,0.7231391633658757,24,True,9.591663046625438,606.6054452909157,89.04862451017834,synthetic
100,14,bernoulli,11573,750,4950,0.15151515151515152,0.0046733589842915535,0.004681739490479231,0.9982099588828639,1.0017932511103569,8.380506187677383e-06,0.15151515151515152,41.0407541958612,6.218296090282,6.69982193478344,0.7208407527173566,24,True,9.591663046625438,612.557062500855,93.01778671215288,synthetic
